Student_ID,Gender,Age,Department,Attendance_Pct,Study_Hours_Per_Day,Assignment_Score,Internal_Marks,Lab_Score,Backlogs,Screen_Time_Hours,Placement_Interest,Final_Marks,Result
STU086,Male,22,ECE,69.1,2.8,57,62,59,2,7.4,Not Interested,59.8,Pass
STU087,Female,21,AIML,88.7,5.0,85,87,89,0,3.7,Interested,87.0,Pass
STU088,Male,20,ISE,73.2,3.3,63,68,65,1,6.5,Interested,66.2,Pass
STU089,Female,19,CSE,94.9,6.2,93,95,94,0,2.6,Interested,94.0,Pass
STU090,Male,21,ECE,61.7,2.0,45,51,48,3,8.7,Not Interested,49.5,Needs Improvement
STU091,Female,20,AIML,85.2,4.6,80,83,85,0,4.3,Interested,82.9,Pass
STU092,Male,22,ISE,67.1,2.5,52,58,55,2,7.8,Not Interested,57.1,Pass
STU093,Female,21,CSE,91.4,5.6,89,91,92,0,3.0,Interested,90.9,Pass
STU094,Male,20,AIML,78.8,3.8,70,75,72,1,5.7,Interested,72.1,Pass
STU095,Female,19,ECE,87.2,4.9,83,86,88,0,4.0,Interested,84.9,Pass
STU096,Male,21,ISE,59.2,1.8,44,49,46,3,8.6,Not Interested,48.0,Needs Improvement
STU097,Female,20,CSE,83.5,4.4,79,81,83,0,4.5,Interested,80.9,Pass
STU098,Male,22,AIML,71.6,3.0,60,65,62,1,6.9,Interested,63.8,Pass
STU099,Female,21,ECE,93.1,6.0,91,93,94,0,2.7,Interested,92.6,Pass
STU100,Male,20,ISE,74.5,3.4,65,70,67,1,6.2,Interested,68.4,Pass
